name,height_m,height_ft,grid_ref,grid_ref_xy,xcoord,ycoord,munro_id
Ben Chonzie,931,3054,NN773308,NN 77324 30857,277324,730857,0
Ben Vorlich,985.3,3233,NN629189,NN 62912 18916,262912,718916,1
Stuc a' Chroin,973,3192,NN617174,NN 61746 17465,261746,717465,2
Ben Lomond,973.7,3195,NN367028,NN 36707 02863,236707,702863,3
Ben More,1174,3852,NN432244,NN 43276 24417,243276,724417,4
Stob Binnein,1165,3822,NN434227,NN 43481 22712,243481,722712,5
Cruach Ardrain,1045.9,3431,NN409212,NN 40927 21215,240927,721215,6
An Caisteal,995.9,3267,NN378193,NN 37873 19343,237873,719343,7
Beinn Tulaichean,945.8,3103,NN416196,NN 41660 19604,241660,719604,8
Beinn a' Chroin,941.4,3089,NN387185,NN 38755 18573,238755,718573,9
Beinn Chabhair,932.2,3058,NN367179,NN 36760 17957,236760,717957,10
Ben Lui [Beinn Laoigh],1131.4,3712,NN266262,NN 26635 26296,226635,726296,11
Ben Oss,1029,3376,NN287253,NN 28761 25348,228761,725348,12
Beinn Dubhchraig,978,3209,NN307254,NN 30763 25493,230763,725493,13
Beinn a' Chleibh,916.3,3006,NN250256,NN 25054 25606,225054,725606,14
Ben Vorlich,943,3094,NN295124,NN 29509 12474,229509,712474,15
Beinn Ime,1012.2,3321,NN254084,NN 25497 08488,225497,708488,16
Ben Vane,915.76,3004,NN277098,NN 27753 09844,227753,709844,17
Beinn Narnain,927,3041,NN271066,NN 27168 06655,227168,706655,18
Beinn Bhuidhe,948.5,3112,NN203187,NN 20368 18717,220368,718717,19
Schiehallion,1083,3553,NN713547,NN 71384 54768,271384,754768,20
Carn Mairg,1042,3419,NN684512,NN 68491 51260,268491,751260,21
Carn Gorm,1029,3376,NN635500,NN 63516 50071,263516,750071,22
Meall Garbh,968,3176,NN647516,NN 64707 51686,264707,751686,23
Meall na Aighean,981,3219,NN694496,NN 69477 49669,269477,749669,24
Stuc an Lochain [Stuchd an Lochain],960,3150,NN483448,NN 48305 44840,248305,744840,25
Meall Buidhe,932.1,3058,NN498499,NN 49838 49946,249838,749946,26
Beinn Dorain,1076,3530,NN325378,NN 32554 37855,232554,737855,27
Beinn an Dothaidh,1004,3294,NN331408,NN 33178 40868,233178,740868,28
Beinn Achaladair,1038.6,3407,NN344432,NN 34468 43242,234468,743242,29
Beinn a' Chreachain,1080.6,3545,NN373440,NN 37387 44075,237387,744075,30
Beinn Mhanach,953,3127,NN373411,NN 37371 41140,237371,741140,31
Ben Lawers,1214,3983,NN635414,NN 63553 41424,263553,741424,32
An Stuc,1117.1,3665,NN638431,NN 63890 43103,263890,743103,33
Meall Garbh,1123.1,3685,NN644437,NN 64437 43757,264437,743757,34
Meall Greigh,1001,3284,NN674438,NN 67400 43808,267400,743808,35
Beinn Ghlas,1103,3619,NN625404,NN 62529 40463,262529,740463,36
Meall Corranaich,1069,3507,NN615410,NN 61534 41047,261534,741047,37
Meall a' Choire Leith,925.6,3037,NN612438,NN 61249 43882,261249,743882,38
Meall nan Tarmachan,1043.6,3424,NN585389,NN 58518 38998,258518,738998,39
Meall Ghaordaidh,1039.8,3411,NN514397,NN 51442 39704,251442,739704,40
Beinn Sheasgarnaich [Beinn Heasgarnich],1077.4,3535,NN413383,NN 41380 38339,241380,738339,41
Creag Mhor,1046.8,3434,NN391361,NN 39150 36111,239150,736111,42
Beinn Challuim [Ben Challum],1025,3363,NN386322,NN 38685 32235,238685,732235,43
Meall Glas,959,3146,NN431321,NN 43148 32194,243148,732194,44
